77-47-4	22.5	1.88E+07
678-26-2	25	1.34E+07
6515-38-4	26.7	5.01E+04
1970-40-7	25	1.93E+04
4911-55-1	25	1.27E+02
109-04-6	25	3.84E+02
109-09-1	25	2.31E+02
1839-18-5	25	1.13E+06
570-22-9	20	1.73E+04
65-86-1	18	4.78E+03
23945-44-0	20	4.82E+03
315-30-0	25	1.33E+04
68-94-0	25	1.05E+04
51953-05-0	20	1.82E+03
69-89-6	20	1.69E+04
69-93-2	25	2.98E+05
50-44-2	25	6.81E+04
98-01-1	50	5.68E+01
88-13-1	25	1.66E+03
88-14-2	24.99	1.33E+02
496-64-0	0	1.45E+02
110-86-1	27	2.10E+01
109-00-2	20	1.65E+02
626-03-9	20	9.94E+02
98-96-4	25	3.94E+02
73-24-5	25	8.34E+03
3373-53-3	25	1.40E+05
73-40-5	25.02	1.43E+06
30377-37-8	25	4.22E+06
542-92-7	25	5.56E+03
608-34-4		4.68E+01
118-52-5	20	2.19E+04
